Utterance,Channel,ID
"Separate Category for the Weekly Topic To better highlight the weekly topic, we've moved the weekly topic channel to a separate channel. This also allowed us to have two separate text channels, one highlighting the topic (#weekly-topic) and one for discussing the topic (#weekly-topic-discussion).(edited)",community-requests,1
"hey, i would like to ask if it's possible to get the channel where users exchanged projects back",community-requests,2
Any update on my ModMail about the hackathon?,community-requests,3
@Admins I have a suggestion. Python has some music libraries and also some great features like MIDI Handling. It would be a good idea if we opened a music in python topic channel.,community-requests,4
Can we have a beginner channel,community-requests,5
"Channel Rename We've changed #async-and-concurrency from #async to what it is currently. This is to better indicate that all concurrency topics (i.e. threads, trio, twisted, multiprocessing, GIL) belong in this topical channel, not just async.",community-requests,6
FAQ Update We've updated the Frequently Asked Questions page on our website: https://pythondiscord.com/pages/frequently-asked-questions/ The FAQ now centers around common questions we get about this server and community. The !faq tag will link to this webpage.,community-requests,7
February data review We've published our February data review containing information on the data we store to run the community. Find it here: https://www.notion.so/pythondiscord/Sunday-28th-February-bb58975e148e4c768c2f09d416baf4d2(edited),community-requests,8
Food names We've changed the names of our help channels from chemical elements to food. We hope these will be more memorable for users of the help system.,community-requests,9
"Hey, I see you asked in #python-general. Python-general is a rapidly scrolling discussion channel, so sometimes your questions will be missed.",community-requests,10
I don't feel comfortable with product advertising in #resources,community-requests,11
"I have an idea, after a recent update when we send a file in discord there is a preview of the content, so why not make it so that if we type !e and send the file it executes it",community-requests,12
I suggest a self-promotion channel where anyone can shitpost about themselves and the people who don't care can mute it,community-requests,13
I would be down for a little group showing off of people's personal projects though. Good for inspo for the newer people and I don't really understand what half of you do,community-requests,14
I've seen some other servers add functionality so you can't post unless you perform some action specified in the wiki. That might be useful to ensure question askers actually read the wiki before posting.,community-requests,15
Icon & Banner Change The server icon and banner have been changes to celebrate Holi. Thanks to @AG for the icon & banner!,community-requests,16
"idk what other topics youd have, just some suggestions",community-requests,17
Is it possible to lower slowmode in #python-general?,community-requests,18
Is this the right Channel to ask for help/hints for planning a project?,community-requests,19
It'll be useful to probably have maybe a link to a beginner's guide/roadmap for ML if people want to figure out how to learn.,community-requests,20
It'll probably be nice to have more guides on specific topics and maybe start tabulating FAQs?,community-requests,21
Itd be like a discord server event,community-requests,22
Lower the sm for #ot0-hemlock’s-morning-deliveries?,community-requests,23
"Maybe a bit silly, but would it be possible to have a dog pictures channel? I'd love to share photos of mine but don't want to intrude on the cat theme :)",community-requests,24
"New Development Channel: #dev-bounty-board We just opened the #dev-bounty-board channel that list our top priority GitHub issues and PRs on our project. If you are interested in helping out, feel free to check out the listed issues and send a message in #dev-contrib, we will help you get started!",community-requests,25
"Privacy policy updates We've made some amendments to our privacy policy to clarify data storage by Metricity, our Discord metric collector. Please find the new version at: https://www.notion.so/pythondiscord/Privacy-Policy-4ceb50b84d164541bd5b0b7046aa7e6a(edited)",community-requests,26
"question for ya. I stream in twitch in the Science & Technology genre, Machine learning studying and related data science stuff. is there a way we can have a stream-announcements channel that we can post our twitch channel in this discord server?",community-requests,27
Renaming #data-science-and-ai We've renamed the data-science channel to #data-science-and-ai (data-science-and-ai). This is meant to help beginners more easily understand the topic at first glance.,community-requests,28
should we have topical channels instead of or in addition to just #machine-learning ?,community-requests,29
"so, I am a little lost here! seems to me that there's one project being worked on by @yacov but I was wondering if we could create more project channels over here by the experienced folks probably so that the people arriving can follow along a project if they are interested. I sure am interested as hell in working on a project related to computer vision besides building my resume to be honest, and I am here for a mentor or a team I could work with for the same. I don't have a project idea, but if experienced folks have any, please let me know!",community-requests,30
The useless pointless questions are kinda annoying,community-requests,31
there should be a student role!,community-requests,32
"There's so many ""I've started in data science, what should I learn"" type questions.",community-requests,33
think there should be some channels specific to languages.,community-requests,34
"We have merged a new command to @Sir Lancebot: .pyfact. It give you facts... about python :). Thanks to @MrKomodoDragon for writing it, and @Chrisjl @Kronifer and @Jason Terror ♦ for reviewing it. It currently only has a few facts, so please suggest any you'd like added on the discussion here: https://github.com/python-discord/meta/discussions/93(edited)",community-requests,35
what should one do when rule 1 gets violated?,community-requests,36
"What was that idea a while back, like a channel people get put in to start with or something",community-requests,37
What would be some must have general pages/sections for a community wiki to you guys?,community-requests,38
What's the #sister-communities channel for? It's empty and read-only.,community-requests,39
"Would it be a good idea to have some kind of small project we all work on together? Like maybe we all enter a kaggle competition, try to do something cool/niche(edited)",community-requests,40
"@everyone I’m having an awesome time organizing this community with y’all and I’m excited to being putting these projects together with your help. As I organize these 4 projects, I figure it’ll be helpful for me to set up some time with some of you individually to better organize these projects, help people form groups, and make it easier for me to help you find jobs at the end of the project if that’s relevant for you. I set up some availability tomorrow and on Wednesday to get to know some folks and learn more about what will work best. Feel free to grab a 15 minute slot with me at this link: https://calendly.com/yacovlewis/introduction ",General,41
"@everyone Introducing Data Science with Expert Guidance Project 1: Applications in ML (AML)! For everyone at other levels, I will be rolling out those projects over the next week or two. For Project 1: AML, participants will build a discord moderator bot that helps members post in the right channel. This project will introduce people to NLP, ML classifiers, git, and web applications if time permitting. For a full walkthrough of the project and to sign up, go over to the #apps-in-ml-1 channel in the open projects section. The introductory post there will answer many of your questions. If you still have questions, feel free to post them there. I'm looking forward to starting this first journey with you guys!",General,42
"@everyone the results are in and the most requested experience is ""Projects for different difficulty levels for non-experts to carry out."" Please help me outline projects that would be valuable to you. I'll share my initial thoughts around what these projects will look like and what they should provide. Please give me feedback on these ideas to help me best facilitate this experience for you all.",General,43
"1. Most advanced: New topics within Deep Learning. Examples could be computer vision, AI for Audio, AI for Video, Natural Language Processing, etc.",General,44
"2.  Projects for different difficulty levels for non-experts to carry out. Tackle a project individually or in a group. Experts will be available to answer questions around the project. Examples of projects could be: kaggle projects, projects for real world use, dummy projects for beginners, etc",General,45
2. Advanced: Introduction to deep learning. A deep learning project with the goal of introducing people to deep learning concepts(edited),General,46
"3.  Projects led by experts for non-experts to watch. Follow along as an expert carries out a project to see how they do it, and how they learn along the way. Examples are the project I'm carrying out in audio, (this project is temporarily paused as I negotiate with my client about what I can share publicly. Updates will come soon). See how medium articles or open source projects are executed from beginning to end.",General,47
3. Intermediate: Applications in Machine Learning. A Machine learning project with the goal of helping people apply machine learning concepts and learning a new domain of machine learning(edited),General,48
"4.  Guest audio sessions, AMA's etc from experts on certain topics in a voice channel at a specific time. Sessions could be led by experts in specific domains of AI, or could come from recruiters for data science, admissions counselors at universities, etc.(edited)",General,49
4. Beginner: Introduction to Machine learning. A machine learning project with the goal of introducing people to machine learning concepts,General,50
"Alright I'll figure some things out  Please feel free to reach out to me to help, share ideas, say hi, or whatever you want. I'm just trying to help and I'm learning a lot in the process",General,51
"Calendly Introduction - Yacov Lewis If there's anything you want me to look at beforehand, just send it to me ahead of our call and I'll take a look!",General,52
Going to repost what got buried under all these arrival messages: Thank you all for joining  I’m certainly new to organizing a discord community but I can see that many people would really deeply benefit from going through their data science journey with guidance from experts they can trust so thats what I’m trying to do here. I’ll try and be as available as I can for the community and help coordinate with other DS experts to make this a great place for people to learn and become big time data scientists,General,53
Help us make this community more of what you need. Please react to the ideas that I post here or that others comment that you would most like to see as part of this server:,General,54
"Help: If you're a data science expert and want to help review and moderate answers and resources, answer questions, or share projects, please dm me If you have experience moderating a community, and you want to help with this community, please dm me Since I'm new to this, I've created a channel called community-requests-and-feedback to post what you think the community organizers should do or improvements they should make. Also feel free to just dm me whatever you feel like saying (please be nice  )",General,55
"Hey @yacov, I’m interested in 1 “new topics”. I’d be interested in doing something in NLP. I’ve worked on a chatbot before 3ish years ago in grad school and it didn’t work well. Would love to try again with better data, and newer models like transformers.",General,56
"Once again, I’m new to this whole process and trying my best to help, so if anyone has suggestions, complaints, advice etc just let me know",General,57
Please vote for the difficulty of the project that you would like to participate in:,General,58
Super cool idea! Others should please react to this suggestion or post others as well. As soon as I see some interest around some of these options i’ll figure out how to make them happen!,General,59
Please keep this channel only for information related to projects and community issues that are relevant to everyone,General,60
Thank you all for you help in making this community so wonderful for all of us,General,61
